# index, name, _pos
79,7,"array([ 5.30884684, -7.29005656])"
80,10,"array([ 5.26031419, -7.34610482])"
81,11,"array([ 5.43058293, -7.11960405])"
82,36,"array([ 5.20165071, -7.23937894])"
83,49,"array([ 5.26558843, -7.13969305])"
84,55,"array([ 5.18759105, -7.1975578 ])"
85,56,"array([ 5.29470796, -7.12738965])"
86,61,"array([ 5.27175384, -7.24560371])"
87,67,"array([ 5.33969531, -7.28716781])"
88,69,"array([ 5.32367688, -7.21870531])"
89,70,"array([ 5.30237002, -7.19791268])"
90,71,"array([ 5.37769029, -7.19336125])"
91,72,"array([ 5.26124688, -7.43807975])"
92,83,"array([ 5.37280184, -7.22727203])"
93,87,"array([ 5.19958675, -7.31471126])"
94,93,"array([ 5.3914193 , -7.29535205])"
95,94,"array([ 5.37240426, -7.34802298])"
96,111,"array([ 5.42994388, -7.17232511])"
97,112,"array([ 5.23522372, -7.32491789])"
98,113,"array([ 5.15692304, -7.30546089])"
99,114,"array([ 5.28765303, -7.27085518])"
100,122,"array([ 5.49384838, -7.16419518])"
101,125,"array([ 5.36461311, -7.26266637])"
102,127,"array([ 5.27077831, -7.30244751])"
103,129,"array([ 5.21609367, -7.19310981])"
104,130,"array([ 5.21259492, -7.27988805])"
105,141,"array([ 5.30133344, -7.33083821])"
106,146,"array([ 5.34008924, -7.33447657])"
107,151,"array([ 5.22713888, -7.36925565])"
108,158,"array([ 5.35087649, -7.21146257])"
109,161,"array([ 5.24571385, -7.27744829])"
110,164,"array([ 5.33912435, -7.25101238])"
111,170,"array([ 5.4038036 , -7.24861728])"
112,177,"array([ 5.33087963, -7.3804549 ])"
113,178,"array([ 5.33949178, -7.12679333])"
114,185,"array([ 5.11328967, -7.25118708])"
115,190,"array([ 5.40163502, -7.33300194])"
116,192,"array([ 5.28201953, -7.2179184 ])"
117,193,"array([ 5.36443882, -7.3088909 ])"
118,195,"array([ 5.30964536, -7.24669423])"
119,89,"array([ 5.38342441, -7.08121632])"
120,110,"array([ 5.52200809, -7.14381027])"
121,118,"array([ 5.40253571, -7.1642995 ])"
122,121,"array([ 5.4083496 , -7.13489202])"
123,142,"array([ 5.32094361, -7.15328824])"
124,174,"array([ 5.37052277, -7.14167772])"
125,9,"array([ 5.53733273, -7.02772968])"
126,23,"array([ 5.60783406, -7.01305598])"
127,32,"array([ 5.55984399, -7.13385079])"
128,38,"array([ 5.68134464, -7.10104676])"
129,80,"array([ 5.55380186, -7.07672917])"
130,116,"array([ 5.58953634, -7.05852144])"
131,117,"array([ 5.48822182, -6.98767741])"
132,135,"array([ 5.56679418, -7.19634616])"
133,137,"array([ 5.49926328, -7.06896827])"
134,139,"array([ 5.64458311, -7.07298365])"
135,162,"array([ 5.59695829, -7.0930114 ])"
136,179,"array([ 5.58956415, -7.15125654])"
137,12,"array([ 5.22265443, -7.11197101])"
138,18,"array([ 5.27962967, -7.06660161])"
139,31,"array([ 5.32772751, -7.09008392])"
140,25,"array([ 5.45030856, -6.75748192])"
141,92,"array([ 5.45233133, -6.68076442])"
142,148,"array([ 5.39760326, -6.63041988])"
143,186,"array([ 5.12627925, -7.19659092])"
144,15,"array([ 5.61907123, -7.4948061 ])"
145,16,"array([ 5.64412571, -7.44647633])"
146,48,"array([ 5.6960379 , -7.43390372])"
147,91,"array([ 5.67359953, -7.29099839])"
148,105,"array([ 5.53519099, -7.27144892])"
149,107,"array([ 5.62984479, -7.29219102])"
150,17,"array([ 5.69429753, -6.94236341])"
151,62,"array([ 5.63206158, -7.14826194])"
152,50,"array([ 5.47300749, -7.24730612])"
153,88,"array([ 5.33625311, -7.03525467])"
154,183,"array([ 5.41254923, -7.21541764])"
155,184,"array([ 5.15189251, -6.93046239])"
156,20,"array([ 5.42954771, -7.08122601])"
157,22,"array([ 5.48349122, -7.11423268])"
158,43,"array([ 5.46647972, -7.14375769])"
159,182,"array([ 5.46174292, -7.33069001])"
160,198,"array([ 5.08616284, -6.88209621])"
161,30,"array([ 4.96407028, -7.63119486])"
162,34,"array([ 5.12728029, -7.43432044])"
163,106,"array([ 5.56978513, -7.26612576])"
164,123,"array([ 5.57207767, -7.23363366])"
165,33,"array([ 5.67630071, -7.21193597])"
166,40,"array([ 5.6336133, -7.233234 ])"
167,44,"array([ 5.63966132, -7.20609986])"
168,58,"array([ 5.6530377 , -7.17886499])"
169,63,"array([ 5.65827429, -7.2515809 ])"
170,64,"array([ 5.61166416, -7.25560796])"
171,65,"array([ 5.60463734, -7.17919934])"
172,66,"array([ 5.59903828, -7.21342557])"
173,109,"array([ 5.55120474, -7.30016941])"
174,119,"array([ 5.79589227, -7.19005867])"
175,134,"array([ 5.61878952, -7.33572664])"
176,68,"array([ 5.6002054 , -7.37598615])"
177,166,"array([ 5.69793958, -7.26500762])"
178,187,"array([ 5.66828666, -7.32726848])"
179,37,"array([ 5.30126617, -6.66522834])"
180,133,"array([ 5.15753514, -6.67398041])"
181,180,"array([ 5.20737509, -6.51633902])"
182,39,"array([ 5.53397118, -6.88589604])"
183,181,"array([ 5.50370287, -6.8483238 ])"
184,41,"array([ 5.41308721, -6.83648349])"
185,45,"array([ 5.43733385, -6.88452988])"
186,59,"array([ 5.47828536, -7.02905084])"
187,82,"array([ 5.5466066 , -6.97431789])"
188,143,"array([ 5.41698693, -7.03302449])"
189,47,"array([ 5.1328119 , -6.59291403])"
190,52,"array([ 5.38398675, -7.00485456])"
191,188,"array([ 5.6948984 , -7.15504711])"
192,84,"array([ 5.42593667, -7.37382039])"
193,175,"array([ 5.29635628, -7.3740173 ])"
194,120,"array([ 6.04994803, -7.19649567])"
195,145,"array([ 5.01049111, -6.71681274])"
196,160,"array([ 4.92936388, -6.96946429])"
197,165,"array([ 4.84612966, -7.34964279])"
