,source,target,weight
223,19,32,3
224,19,40,5
225,19,45,3
226,19,48,3
227,19,50,4
228,19,70,3
229,19,72,4
230,19,73,4
231,19,113,4
232,19,124,5
233,19,127,4
234,19,133,3
235,19,160,4
236,19,163,3
237,19,179,5
238,19,201,4
239,19,204,4
240,20,10,3
241,20,17,3
242,20,18,3
243,20,69,3
244,20,127,3
245,20,160,4
246,20,163,3
247,21,10,3
248,21,16,3
249,21,36,3
250,21,46,3
251,21,50,3
252,21,51,3
253,21,53,3
254,21,87,4
255,21,88,5
256,21,89,5
257,22,3,4
258,22,7,3
259,22,10,4
260,22,14,4
261,22,27,3
262,22,45,3
263,22,57,4
264,22,58,3
265,22,59,3
266,22,106,4
267,22,113,3
268,22,123,3
269,23,10,5
270,23,11,3
271,23,12,5
272,23,13,3
273,23,15,3
274,23,87,3
275,23,108,3
276,23,109,5
277,23,110,4
278,23,111,4
279,23,112,3
280,23,129,4
281,23,206,3
282,24,16,3
283,24,17,3
284,24,55,3
285,24,70,3
286,24,73,4
287,24,92,3
288,24,100,3
289,24,111,3
290,24,115,3
291,24,127,5
292,24,141,3
293,24,148,4
294,24,149,3
295,24,163,4
296,24,179,3
297,24,189,3
298,25,13,3
299,25,17,3
300,25,20,3
301,25,26,4
302,25,27,3
303,25,28,3
304,25,29,3
305,25,30,3
306,25,31,3
307,25,32,3
308,25,33,4
309,25,34,4
310,25,35,3
311,25,36,3
312,25,37,4
313,25,38,3
314,25,39,3
315,25,40,3
316,25,41,3
317,25,42,4
318,26,13,4
319,26,25,3
320,26,36,4
321,26,45,3
322,26,49,3
323,26,54,3
324,26,61,3
325,26,114,5
326,26,115,3
327,26,116,3
328,26,117,3
329,26,118,3
330,26,119,3
331,26,120,5
332,26,121,3
333,27,2,3
334,27,3,3
335,27,7,3
336,27,8,4
337,27,14,3
338,27,20,3
339,27,22,2
340,27,28,2
341,27,34,2
342,27,40,2
343,27,42,2
344,27,44,2
345,27,45,4
346,27,47,3
347,27,54,2
348,27,59,3
349,27,60,3
350,27,66,4
351,27,77,2
352,27,105,2
353,27,106,3
354,27,107,2
355,27,113,3
356,27,122,3
357,27,123,2
358,27,124,4
359,27,125,2
360,27,126,2
361,28,8,3
362,28,33,4
363,28,34,4
364,28,35,3
365,28,39,3
366,28,40,3
367,28,42,4
368,28,74,4
369,28,107,3
370,28,124,3
371,29,2,3
372,29,4,5
373,29,5,3
374,29,27,4
375,29,28,3
376,29,45,3
377,29,48,3
378,29,50,3
379,29,51,3
380,29,108,4
381,29,132,5
382,29,138,3
383,29,139,3
384,30,20,3
385,30,29,3
386,30,151,3
387,30,153,4
388,30,158,4
389,30,196,3
390,31,8,3
391,31,17,4
392,31,35,4
393,31,84,3
394,31,107,3
395,31,147,3
396,31,198,4
397,32,36,3
398,32,50,4
399,32,100,3
400,32,101,4
401,32,102,3
402,32,160,3
403,33,25,3
404,33,28,4
405,33,34,4
406,33,37,3
407,33,39,4
408,33,40,3
409,33,42,4
410,34,28,3
411,34,33,4
412,34,39,4
413,34,42,3
414,35,8,3
415,35,17,4
416,35,28,3
417,35,31,4
418,35,33,3
419,35,42,3
420,35,104,3
421,35,107,3
422,35,113,3
423,35,171,3
424,35,198,3
425,36,13,3
426,36,14,3
427,36,21,4
428,36,26,4
429,36,32,3
430,36,46,4
431,36,50,3
432,36,51,3
433,36,53,3
434,36,68,3
435,36,114,5
436,36,115,3
437,36,119,3
438,36,120,4
439,36,133,3
440,36,169,3
441,36,171,5
442,36,173,5
443,36,204,4
444,37,25,4
445,37,28,3
446,37,33,3
447,37,34,3
448,37,107,3
449,37,171,3
450,37,198,3
451,38,74,3
452,38,82,3
453,38,83,5
454,38,86,3
455,38,148,3
456,38,185,4
457,38,196,5
458,39,8,3
459,39,25,3
460,39,28,3
461,39,33,4
462,39,34,4
463,39,36,3
464,39,42,4
465,40,19,4
466,40,27,3
467,40,28,3
468,40,33,3
469,40,34,3
470,40,42,3
471,40,54,3
472,40,120,3
473,40,124,5
474,40,133,3
475,40,192,3
476,41,52,3
477,41,61,5
478,41,62,5
479,41,70,3
480,41,116,3
481,41,128,5
482,41,144,3
483,41,145,3
484,41,146,3
485,41,150,3
486,41,156,3
487,41,166,3
488,41,167,3
489,41,169,3
490,41,172,4
491,41,175,3
492,41,178,4
493,41,184,3
494,41,185,4
495,41,215,3
496,42,28,3
497,42,33,3
498,42,34,3
499,42,39,3
500,43,1,4
501,43,2,4
502,43,3,4
503,43,4,3
504,43,5,5
505,43,8,4
506,43,14,3
507,43,59,3
508,43,105,3
509,43,113,3
510,44,2,3
511,44,3,4
512,44,4,3
513,44,5,5
514,44,14,4
515,44,17,3
516,44,27,3
517,44,59,3
518,44,105,3
519,44,107,3
520,45,3,3
521,45,24,3
522,45,27,3
523,45,67,3
524,45,69,3
525,45,87,3
526,45,112,3
527,45,127,3
528,45,129,3
529,45,159,3
530,46,2,3
531,46,47,5
532,46,48,5
533,46,49,3
534,46,50,4
535,46,53,3
536,46,69,3
537,46,73,3
538,46,92,3
539,46,93,5
540,46,98,3
541,46,100,4
542,46,103,3
543,46,115,3
544,46,147,5
545,46,161,3
546,46,162,3
547,47,46,4
548,47,54,5
549,47,92,5
550,47,93,4
551,47,96,3
552,47,115,3
553,47,138,5
554,47,141,3
555,47,163,4
556,47,170,3
557,47,177,3
558,48,2,3
559,48,4,4
560,48,46,3
561,48,56,4
562,48,58,3
563,48,69,3
564,48,193,3
565,49,2,3
566,49,6,4
567,49,94,3
568,49,98,5
569,49,117,4
570,50,17,3
571,50,32,3
572,50,46,3
573,50,51,5
574,50,53,5
575,50,54,3
576,50,73,4
577,50,101,4
578,50,102,4
579,50,118,3
580,50,160,3
581,50,179,3
582,51,2,3
583,51,50,4
584,51,52,3
585,51,53,5
586,51,54,4
587,51,73,4
588,51,99,5
589,51,125,3
590,51,131,4
591,51,162,4
592,51,204,3
593,52,10,3
594,52,11,3
595,52,24,3
596,52,41,3
597,52,51,3
598,52,53,4
599,52,54,3
600,52,67,3
601,52,70,4
602,52,73,4
603,52,88,4
604,52,98,3
605,52,104,3
606,52,126,3
607,52,131,5
608,52,137,3
609,52,148,4
610,52,172,4
611,53,2,4
612,53,21,3
613,53,22,3
614,53,46,3
615,53,50,4
616,53,51,4
617,53,52,3
618,53,98,3
619,53,125,3
620,53,140,3
621,53,162,3
622,53,167,3
623,53,169,3
624,54,47,4
625,54,50,3
626,54,51,4
627,54,52,3
628,54,71,4
629,54,115,4
630,54,121,4
631,54,131,3
632,54,133,3
633,54,196,4
634,54,204,3
635,55,41,3
636,55,48,3
637,55,56,4
638,55,57,3
639,55,58,3
640,55,59,3
641,55,60,3
642,55,61,3
643,55,62,4
644,55,63,5
645,55,64,5
646,55,65,3
647,55,66,3
648,56,48,5
649,56,55,4
650,56,57,3
651,56,58,4
652,56,63,3
653,56,144,4
654,56,145,3
655,56,146,3
656,57,3,3
657,57,41,3
658,57,55,4
659,57,56,4
660,57,58,4
661,57,59,4
662,57,61,3
663,57,63,4
664,57,74,4
665,57,79,3
666,57,86,3
667,57,146,4
668,57,147,3
669,57,148,3
670,57,149,3
671,57,150,3
672,58,41,3
673,58,48,4
674,58,55,4
675,58,56,4
676,58,57,3
677,58,59,3
678,58,60,3
679,58,62,3
680,58,63,4
681,58,146,3
682,59,7,3
683,59,14,5
684,59,17,3
685,59,22,3
686,59,27,3
687,59,43,3
688,59,44,3
689,59,55,3
690,59,57,4
691,59,58,3
692,59,60,4
693,59,63,4
694,59,70,3
695,60,3,4
696,60,14,5
697,60,22,3
698,60,27,3
699,60,55,3
700,60,56,3
701,60,57,3
702,60,58,3
703,60,59,3
704,60,63,5
705,60,126,4
706,61,41,4
707,61,52,3
708,61,55,3
709,61,57,3
710,61,58,3
711,61,62,5
712,61,63,3
713,61,70,4
714,61,116,5
715,61,121,3
716,61,128,4
717,61,133,3
718,61,146,3
719,61,148,3
720,61,165,4
721,61,169,3
722,61,170,3
723,61,214,3
724,61,215,3
725,62,41,4
726,62,55,3
727,62,61,4
728,62,116,3
729,62,128,3
730,62,170,3
731,63,3,3
732,63,14,3
733,63,55,5
734,63,56,3
735,63,58,4
736,63,59,3
737,63,60,5
738,63,61,3
739,63,62,4
740,63,66,4
741,63,150,4
742,63,165,3
743,63,202,3
744,64,8,3
745,64,54,3
746,64,55,5
747,64,56,3
748,64,57,3
749,64,58,3
750,64,60,3
751,64,63,3
752,64,66,3
753,64,71,3
754,64,121,3
755,64,146,5
756,64,149,5
757,64,150,3
758,64,212,4
759,64,216,4
760,65,41,3
761,65,54,3
762,65,56,3
763,65,64,3
764,65,66,5
765,65,71,4
766,65,75,3
767,65,77,3
768,65,85,3
769,65,98,3
770,65,121,3
771,65,126,3
772,65,128,3
773,65,144,3
774,65,145,4
775,65,149,4
776,65,150,5
777,65,156,3
778,65,178,3
779,65,182,3
780,65,183,3
781,65,184,3
782,65,185,3
783,65,194,3
784,65,202,3
785,65,212,3
786,65,214,5
787,66,63,4
788,66,65,5
789,66,75,4
790,66,77,3
791,66,126,4
792,66,134,3
793,66,135,3
794,66,202,4
795,66,210,3
796,67,52,4
797,67,53,3
798,67,68,3
799,67,69,4
800,67,70,3
801,67,71,3
802,67,72,3
803,67,73,3
804,68,15,4
805,68,18,3
806,68,36,3
807,68,49,3
808,68,50,3
809,68,67,3
810,68,177,5
811,69,45,3
812,69,67,5
813,69,72,4
814,69,73,5
815,69,85,5
816,69,88,3
817,69,89,4
818,69,125,3
819,69,156,3
820,69,166,3
821,69,169,3
822,69,193,5
823,69,196,3
824,69,204,3
825,70,16,2
826,70,19,3
827,70,21,2
828,70,24,2
829,70,41,3
830,70,51,2
831,70,52,3
832,70,53,2
833,70,55,3
834,70,61,4
835,70,62,4
836,70,63,3
837,70,73,4
838,70,83,2
839,70,87,2
840,70,88,2
841,70,111,3
842,70,112,2
843,70,116,3
844,70,119,2
845,70,121,3
846,70,125,2
847,70,127,3
848,70,128,3
849,70,131,2
850,70,133,2
851,70,141,2
852,70,142,2
853,70,144,2
854,70,145,2
855,70,146,2
856,70,147,4
857,70,148,4
858,70,150,3
859,70,156,2
860,70,157,2
861,70,162,2
862,70,163,3
863,70,165,3
864,70,166,2
865,70,167,2
866,70,169,3
867,70,170,3
868,70,172,3
869,70,181,2
870,70,182,2
871,70,186,4
872,70,206,2
873,70,207,2
874,70,213,2
875,70,215,2
876,71,54,3
877,71,64,3
878,71,65,4
879,71,66,3
880,71,85,3
881,71,94,3
882,71,115,3
883,71,121,3
884,71,141,3
885,71,143,3
886,71,149,4
887,71,156,4
888,71,158,3
889,71,166,3
890,71,178,3
891,71,194,3
892,71,195,3
893,71,196,3
894,71,202,3
895,71,212,4
896,72,67,4
897,72,68,3
898,72,69,4
899,72,71,3
900,72,85,3
901,72,88,4
902,72,89,4
903,72,125,4
904,72,143,4
905,72,156,3
906,72,162,4
907,72,193,3
908,72,194,4
909,72,201,3
910,73,20,3
911,73,24,3
912,73,50,5
913,73,51,4
914,73,52,3
915,73,67,3
916,73,69,3
917,73,70,4
918,73,126,3
919,73,127,3
920,73,131,3
921,73,147,3
922,73,162,3
923,73,163,3
924,73,165,5
925,73,166,4
926,73,169,3
927,73,179,5
928,73,188,3
929,73,193,3
930,74,28,4
931,74,38,3
932,74,75,3
933,74,76,3
934,74,77,3
935,74,78,3
936,74,79,5
937,74,80,4
938,74,81,4
939,74,82,3
940,74,83,4
941,74,84,5
942,74,85,3
943,74,86,3
944,75,65,3
945,75,66,4
946,75,74,3
947,75,76,3
948,75,77,5
949,75,79,3
950,75,83,3
951,75,84,3
952,75,86,3
953,75,134,3
954,75,135,4
955,76,38,3
956,76,56,3
957,76,57,4
958,76,74,4
959,76,75,3
960,76,77,3
961,76,79,3
962,76,82,3
963,76,83,4
964,76,122,4
965,76,139,4
966,76,151,4
967,76,153,4
968,76,154,4
969,76,158,3
970,77,65,3
971,77,66,4
972,77,74,4
973,77,75,5
974,77,76,3
975,77,79,3
976,77,83,3
977,77,84,3
978,77,86,3
979,77,135,3
980,78,74,3
981,78,79,3
982,78,81,5
983,78,82,3
984,78,151,4
985,78,168,3
986,78,173,4
987,78,174,4
988,78,187,3
989,78,188,3
990,78,190,3
991,78,195,3
992,78,196,3
993,79,74,4
994,79,75,3
995,79,76,3
996,79,77,3
997,79,78,4
998,79,81,4
999,79,82,4
1000,79,144,3
1001,79,151,3
1002,79,174,3
1003,80,38,3
1004,80,57,3
1005,80,74,5
1006,80,76,5
1007,80,83,5
1008,80,86,3
1009,80,95,4
1010,80,113,4
1011,80,123,5
1012,80,139,3
1013,80,151,3
1014,80,174,3
1015,80,184,3
1016,80,195,4
1017,81,74,5
1018,81,78,5
1019,81,79,4
1020,81,82,3
1021,81,115,3
1022,81,126,4
1023,81,134,3
1024,81,151,3
1025,81,168,3
1026,81,195,4
1027,81,205,3
1028,82,38,3
1029,82,74,5
1030,82,76,3
1031,82,78,3
1032,82,79,5
1033,82,81,3
1034,82,95,3
1035,82,134,3
1036,82,151,3
1037,82,153,3
1038,82,154,5
1039,83,38,3
1040,83,74,3
1041,83,76,3
1042,83,79,3
1043,83,80,4
1044,83,84,4
1045,83,125,3
1046,83,139,4
1047,83,144,3
1048,83,145,4
1049,83,169,4
1050,83,181,3
1051,83,182,3
1052,83,184,3
1053,83,185,4
1054,84,31,4
1055,84,38,3
1056,84,74,5
1057,84,75,3
1058,84,76,3
1059,84,77,3
1060,84,80,4
1061,84,83,5
1062,84,86,4
1063,85,69,5
1064,85,71,3
1065,85,72,3
1066,85,74,5
1067,85,94,4
1068,85,125,3
1069,85,126,3
1070,85,139,3
1071,85,142,5
1072,85,143,5
1073,85,144,4
1074,85,164,4
1075,85,165,5
1076,85,166,3
1077,85,184,3
1078,85,185,3
1079,85,194,5
1080,85,212,4
1081,86,38,3
1082,86,57,3
1083,86,74,4
1084,86,75,3
1085,86,76,3
1086,86,77,3
1087,86,80,4
1088,86,83,4
1089,86,84,4
1090,86,184,3
1091,87,11,3
1092,87,12,3
1093,87,15,3
1094,87,21,4
1095,87,23,3
1096,87,45,4
1097,87,69,3
1098,87,88,4
1099,87,89,3
1100,87,110,4
1101,87,111,4
1102,87,112,3
1103,87,150,3
1104,87,155,3
1105,87,206,3
1106,87,207,3
1107,87,213,3
1108,88,11,3
1109,88,21,4
1110,88,52,4
1111,88,69,5
1112,88,72,3
1113,88,85,3
1114,88,87,3
1115,88,89,5
1116,88,94,3
1117,88,141,3
1118,88,143,3
1119,88,161,4
1120,88,162,3
1121,88,166,3
1122,88,193,3
1123,88,194,3
1124,89,16,4
1125,89,21,3
1126,89,69,4
1127,89,72,5
1128,89,88,5
1129,89,162,3
1130,89,194,3
1131,90,46,1
1132,90,47,1
1133,90,91,5
1134,90,92,1
1135,90,93,1
1136,90,94,1
1137,90,95,1
1138,90,96,1
1139,91,48,3
1140,91,90,5
1141,92,47,3
1142,92,48,3
1143,92,93,3
1144,92,94,3
1145,92,95,5
1146,92,96,3
1147,92,115,3
1148,92,138,3
1149,92,147,5
1150,92,163,3
1151,92,170,3
1152,92,172,3
1153,92,175,3
1154,92,177,3
1155,92,178,3
1156,93,32,3
1157,93,46,5
1158,93,47,3
1159,93,92,4
1160,93,96,5
1161,93,100,5
1162,93,115,3
1163,93,147,4
1164,93,163,3
1165,93,170,3
1166,93,177,5
1167,94,47,4
1168,94,85,4
1169,94,92,4
1170,94,95,5
1171,94,141,3
1172,94,151,3
1173,94,166,4
1174,94,167,3
1175,94,175,3
1176,94,193,3
1177,95,80,3
1178,95,85,3
1179,95,90,3
1180,95,92,5
1181,95,94,4
1182,95,154,3
1183,95,190,4
1184,95,193,4
1185,95,194,3
1186,96,1,3
1187,96,46,3
1188,96,47,4
1189,96,48,3
1190,96,92,5
1191,96,93,5
1192,96,94,3
1193,96,95,3
1194,96,115,3
1195,96,116,3
1196,96,129,3
1197,96,138,3
1198,96,141,3
1199,96,147,5
1200,96,163,3
1201,96,170,4
1202,96,172,3
1203,97,3,1
1204,97,5,1
1205,97,18,1
1206,97,32,1
1207,97,43,1
1208,97,44,1
1209,97,52,1
1210,97,68,1
1211,97,98,1
1212,97,99,1
1213,97,100,1
1214,97,101,1
1215,97,102,1
1216,97,103,1
1217,97,104,1
1218,98,48,3
1219,98,49,5
1220,98,53,4
1221,98,55,3
1222,98,92,4
1223,98,94,3
1224,98,117,4
1225,98,126,3
1226,98,144,3
1227,98,154,3
1228,98,162,3
1229,98,168,3
1230,98,169,3
1231,99,20,3
1232,99,46,3
1233,99,50,3
1234,99,51,5
1235,99,53,3
1236,99,67,3
1237,99,69,5
1238,99,98,3
1239,99,189,4
1240,100,16,3
1241,100,24,3
1242,100,32,3
1243,100,46,3
1244,100,50,3
1245,100,93,4
1246,100,101,5
1247,100,102,5
1248,100,103,3
1249,101,16,4
1250,101,50,3
1251,101,100,3
1252,101,102,5
1253,102,16,4
1254,102,18,3
1255,102,32,3
1256,102,50,4
1257,102,52,3
1258,102,68,3
1259,102,97,3
1260,102,100,5
1261,102,101,5
1262,102,103,3
1263,102,104,3
1264,102,160,3
1265,103,32,3
1266,103,46,4
1267,103,100,4
1268,104,16,3
1269,104,100,3
1270,104,101,3
1271,104,102,3
1272,105,1,3
1273,105,3,3
1274,105,5,4
1275,105,6,3
1276,105,9,3
1277,105,11,3
1278,105,14,3
1279,105,17,3
1280,105,27,4
1281,105,44,4
1282,105,59,3
1283,105,106,4
1284,105,107,3
1285,105,108,3
1286,106,1,4
1287,106,3,3
1288,106,7,4
1289,106,14,3
1290,106,27,4
1291,106,28,3
1292,106,47,3
1293,106,59,3
1294,106,71,3
1295,106,105,3
1296,106,113,5
1297,106,140,3
1298,106,141,5
1299,106,142,3
1300,106,143,4
1301,107,7,4
1302,107,8,5
1303,107,17,4
1304,107,28,3
1305,107,31,3
1306,107,35,4
1307,107,202,3
1308,107,208,3
1309,108,4,3
1310,108,10,3
1311,108,11,3
1312,108,12,4
1313,108,13,4
1314,108,24,3
1315,108,29,4
1316,108,45,3
1317,108,70,4
1318,108,98,3
1319,108,109,4
1320,108,111,3
1321,108,112,3
1322,108,117,3
1323,108,130,4
1324,108,132,5
1325,108,133,3
1326,108,201,5
1327,108,206,3
1328,109,12,4
1329,109,23,4
1330,109,108,3
1331,109,110,3
1332,109,111,3
1333,109,136,3
1334,109,137,3
1335,110,12,5
1336,110,23,4
1337,110,87,3
1338,110,108,3
1339,110,109,3
1340,110,111,4
1341,110,112,5
1342,110,129,3
1343,110,130,3
1344,110,206,3
1345,110,207,3
1346,111,12,3
1347,111,23,3
1348,111,70,3
1349,111,87,3
1350,111,108,3
1351,111,109,3
1352,111,110,4
1353,111,112,5
1354,111,129,3
1355,111,206,3
1356,111,207,3
1357,112,23,3
1358,112,55,3
1359,112,87,4
1360,112,100,3
1361,112,110,4
1362,112,111,5
1363,112,121,5
1364,112,129,5
1365,112,130,3
1366,112,149,3
1367,112,206,5
1368,112,207,5
1369,112,213,3
1370,113,2,2
1371,113,3,2
1372,113,6,2
1373,113,7,4
1374,113,8,3
1375,113,9,2
1376,113,14,3
1377,113,19,2
1378,113,25,2
1379,113,27,3
1380,113,32,2
1381,113,35,4
1382,113,36,2
1383,113,40,2
1384,113,42,2
1385,113,43,2
1386,113,44,3
1387,113,59,2
1388,113,106,4
1389,113,107,2
1390,113,108,3
1391,113,122,2
1392,113,123,5
1393,113,124,2
1394,113,125,2
1395,113,133,2
1396,113,140,3
1397,113,156,2
1398,113,159,2
1399,113,171,2
1400,113,184,2
1401,113,185,2
1402,113,198,2
1403,114,36,3
1404,114,115,3
1405,114,120,3
1406,114,167,4
1407,115,20,3
1408,115,36,3
1409,115,47,3
1410,115,54,5
1411,115,92,3
1412,115,93,3
1413,115,96,3
1414,115,100,3
1415,115,114,4
1416,115,120,3
1417,115,165,3
1418,115,170,3
1419,116,26,3
1420,116,41,4
1421,116,47,3
1422,116,54,3
1423,116,61,5
1424,116,62,5
1425,116,70,3
1426,116,114,3
1427,116,115,3
1428,116,120,3
1429,116,121,3
1430,116,128,4
1431,116,156,3
1432,116,165,3
1433,116,170,5
1434,116,172,4
1435,117,6,3
1436,117,9,3
1437,117,49,3
1438,117,98,3
1439,117,140,3
1440,117,199,3
1441,118,19,3
1442,118,50,3
1443,118,51,4
1444,118,73,4
1445,118,131,3
1446,118,179,5
1447,119,36,1
1448,119,70,1
1449,119,112,1
1450,119,120,1
1451,119,121,3
1452,119,170,1
1453,120,13,3
1454,120,16,3
1455,120,19,3
1456,120,26,5
1457,120,36,3
1458,120,40,3
1459,120,41,3
1460,120,50,3
1461,120,54,3
1462,120,61,4
1463,120,62,4
1464,120,63,3
1465,120,70,3
1466,120,72,3
1467,120,100,3
1468,120,107,3
1469,120,112,3
1470,120,114,5
1471,120,115,4
1472,120,116,4
1473,120,118,3
1474,120,119,3
1475,120,121,4
1476,120,127,3
1477,120,128,3
1478,120,169,4
1479,120,170,3
1480,120,173,3
1481,120,179,4
1482,120,192,3
1483,120,204,3
1484,120,207,3
1485,120,215,3
1486,121,26,3
1487,121,47,4
1488,121,51,3
1489,121,54,5
1490,121,62,3
1491,121,112,4
1492,121,114,3
1493,121,116,4
1494,121,120,3
1495,121,149,3
1496,121,150,5
1497,121,170,3
1498,121,206,3
1499,121,207,4
1500,121,212,4
1501,121,216,3
1502,122,27,3
1503,122,30,4
1504,122,38,3
1505,122,54,5
1506,122,76,4
1507,122,82,3
1508,122,107,3
1509,122,139,3
1510,122,151,4
1511,122,152,3
1512,122,153,4
1513,122,154,5
1514,122,155,3
1515,122,156,3
1516,123,1,3
1517,123,7,5
1518,123,9,3
1519,123,22,3
1520,123,80,4
1521,123,113,5
1522,123,124,5
1523,124,7,3
1524,124,8,3
1525,124,17,3
1526,124,19,3
1527,124,27,4
1528,124,28,4
1529,124,33,3
1530,124,34,3
1531,124,40,5
1532,124,42,3
1533,124,54,3
1534,124,106,3
1535,124,107,3
1536,124,113,3
1537,124,123,3
1538,125,47,4
1539,125,69,3
1540,125,72,3
1541,125,126,4
1542,125,166,4
1543,125,184,4
1544,125,185,4
1545,125,193,3
1546,125,194,4
1547,125,209,4
1548,126,14,3
1549,126,63,4
1550,126,66,4
1551,126,71,3
1552,126,73,3
1553,126,81,4
1554,126,125,3
1555,126,139,3
1556,126,142,3
1557,126,150,4
1558,126,157,3
1559,126,165,3
1560,126,176,3
1561,126,180,5
1562,126,181,3
1563,126,184,5
1564,126,195,5
1565,127,3,3
1566,127,17,4
1567,127,24,5
1568,127,45,3
1569,127,70,3
1570,127,73,3
1571,127,125,3
1572,127,159,3
1573,127,163,3
1574,128,1,4
1575,128,3,4
1576,128,7,3
1577,128,33,3
1578,128,34,3
1579,128,40,3
1580,128,41,5
1581,128,45,3
1582,128,61,4
1583,128,62,5
1584,128,116,3
1585,128,121,4
1586,128,125,3
1587,128,140,3
1588,128,141,4
1589,128,144,3
1590,128,146,3
1591,128,150,5
1592,128,156,3
1593,128,161,3
1594,128,165,3
1595,128,166,3
1596,128,167,4
1597,128,169,3
1598,128,172,3
1599,128,178,3
1600,128,184,3
1601,128,185,3
1602,128,212,3
1603,129,23,5
1604,129,45,3
1605,129,83,3
1606,129,87,3
1607,129,110,3
1608,129,111,3
1609,129,112,4
1610,129,121,3
1611,129,137,5
1612,129,206,5
1613,129,207,4
1614,130,12,3
1615,130,14,3
1616,130,23,3
1617,130,87,3
1618,130,105,3
1619,130,108,5
1620,130,109,3
1621,130,110,3
1622,130,111,3
1623,130,112,4
1624,130,129,3
1625,130,132,4
1626,130,206,4
1627,130,207,4
1628,131,17,3
1629,131,41,3
1630,131,45,3
1631,131,51,5
1632,131,52,5
1633,131,53,3
1634,131,54,4
1635,131,61,4
1636,131,62,3
1637,131,67,4
1638,131,70,5
1639,131,73,4
1640,131,83,3
1641,131,88,3
1642,131,118,4
1643,131,125,4
1644,131,138,3
1645,131,142,3
1646,131,148,3
1647,131,162,5
1648,131,169,3
1649,131,172,5
1650,131,179,3
1651,131,215,3
1652,132,4,3
1653,132,29,3
1654,132,108,5
1655,132,130,3
1656,132,201,4
1657,133,16,3
1658,133,23,3
1659,133,54,3
1660,133,61,3
1661,133,62,3
1662,133,68,3
1663,133,70,3
