# index, name, _pos
30,ADMIRAL PROTOCOL/,"array([-13.85125719,  23.72235774])"
31,ADORA,"array([-13.32764994,  26.53730424])"
32,ADORA CLONE,"array([-14.96716053,  20.91225128])"
33,ADRIA,"array([-5.54245636, 31.20922124])"
34,ADVA,"array([-14.2563159 ,  31.93361985])"
35,ADVENT/KYLE GROBE,"array([-13.82470358,  22.81539819])"
36,ADVERSARY,"array([-16.59845346,  26.46172478])"
37,AEGIS/TREY ROLLINS,"array([-13.65153166,  25.07368629])"
38,AENTAROS,"array([-19.69108711,  27.7024529 ])"
39,AFTERLIFE,"array([-4.427906  , 30.69071449])"
40,AGAMEMNON,"array([-15.06457206,  38.22358155])"
41,AGAMEMNON II/ANDREI ,"array([-14.69000741,  24.50100458])"
42,AGAMEMNON III/,"array([-11.11892691,  32.7827569 ])"
43,AGAMOTTO,"array([-7.50299088, 30.39048235])"
44,"AGARN, CAPT.","array([-19.03195814,  36.78081298])"
45,AGED GENGHIS,"array([-7.98217731, 30.7964624 ])"
46,"AGEE, DR. AUBREY","array([-17.53304845,  26.53540809])"
47,"AGEE, REBECCA","array([-18.23827444,  26.33236447])"
48,AGENT AXIS/,"array([-9.01286812, 33.15653793])"
49,AGENT 18/JACK TRUMAN,"array([-16.17397872,  28.34682095])"
50,AGENT-X/,"array([-7.84979312, 23.22267849])"
51,AGGAMON,"array([-2.78219662, 31.62357088])"
52,AGINAR,"array([-15.22303757,  33.48306931])"
53,AGON,"array([-16.74963431,  33.91065123])"
54,AGONY/,"array([-15.3512748,  30.2280165])"
55,"AGUIRRE, ISOBEL","array([-16.03996361,  31.19146017])"
56,AHAB/RORY CAMPBELL,"array([-16.46784939,  28.02759933])"
57,AHQLAU,"array([-14.72233692,  33.52408144])"
58,AHURA,"array([-13.88592951,  31.9665638 ])"
59,AI-CHIA,"array([-18.71377916,  21.81731688])"
60,AINET,"array([-15.38028606,  24.09304114])"
61,AIR WALKER/ARLO SAMU,"array([-10.75287986,  36.41512837])"
62,AIR-WALKER/GABRIEL L,"array([-13.68960356,  32.66550076])"
63,AIRBORNE/,"array([-6.97251825, 28.901887  ])"
64,AIREO/AEOLUS [INHUMA,"array([-13.55459486,  28.28040269])"
65,AJAK/TECUMOTZIN [ETE,"array([-14.28695725,  31.87073981])"
66,AJAX,"array([-12.5061104 ,  31.53364251])"
67,AJAX II,"array([-15.69778606,  21.349732  ])"
68,AJES'HA,"array([-12.04453285,  32.86999452])"
69,AKAFE,"array([-5.69341833, 29.41343216])"
70,AKULIA,"array([-16.57937125,  18.97530427])"
71,"AKUTAGAWA, OSAMU","array([-13.20844199,  24.38770344])"
72,AL-KHALAD,"array([-5.25625493, 30.79342405])"
73,ALANYA,"array([-5.67491735, 31.2066506 ])"
74,ALBERIK,"array([-19.13248185,  32.23784538])"
75,ALBERT,"array([-15.92663574,  24.58157773])"
76,ALBINO/DR. AUGUSTA S,"array([-8.63066296, 25.60936908])"
77,"ALBUQUERQUE, JEREMIA","array([-12.2212297 ,  22.83014406])"
78,ALCHEMY/THOMAS JONES,"array([-17.51489057,  26.14617871])"
79,"ALDEN, PROF. MEREDIT","array([-8.65944002, 31.70868866])"
80,"ALEGRIA, RICHIE","array([-18.69181467,  26.28807337])"
81,"ALEXANDER, CALEB","array([-10.67841598,  27.62793255])"
82,"ALEXANDER, CARRIE","array([-11.03175877,  29.03688307])"
83,ALFY,"array([-14.20127769,  25.2352808 ])"
84,ALIOTH,"array([-10.95303443,  35.87726963])"
85,ALIST,"array([-11.29110915,  38.91778948])"
86,ALISTRO,"array([-17.06243313,  34.0288035 ])"
87,"ALLEN, TERRY","array([-13.33972616,  23.4935913 ])"
88,"ALOUETTE, GENARD","array([-16.95371238,  21.9020504 ])"
89,ALPHA,"array([-15.68157865,  30.08562245])"
90,"ALRAUNE, MARLENE","array([-6.88613437, 25.29830332])"
91,"ALVAREZ, CARLY","array([-15.15132569,  24.71743653])"
92,"ALVAREZ, PAUL","array([-13.12589973,  33.97829051])"
93,"ALVAREZ, FELIX","array([-8.71870206, 30.85352711])"
94,AMAZO-MAXI-WOMAN/,"array([-57.00646602,  54.99606486])"
95,AMAZON,"array([-16.58319027,  32.28345664])"
96,AMENHOTEP,"array([-12.3364009 ,  33.34194272])"
97,AMERICAN EAGLE II/JA,"array([-7.22816515, 31.50051563])"
98,AMERICAN EAGLE III/J,"array([-15.0326118 ,  29.13960949])"
99,AMERICAN SAMURAI/,"array([-9.57679403, 20.22249382])"
100,AMERICOP/,"array([-6.17502919, 26.99440589])"
101,AMIKO,"array([-16.0170769 ,  23.32137673])"
102,AMINEDI,"array([-15.5730217 ,  23.37776346])"
103,AMPERE/,"array([-15.63534032,  35.37634159])"
104,AMPHARON,"array([-8.31441566, 33.19654483])"
105,AMPHIBIAN/KINGLEY RI,"array([-9.52210308, 31.95180728])"
106,AMPHIBIUS,"array([-14.37702699,  25.62861288])"
107,ANACONDA/BLANCHE SIT,"array([-10.39026829,  27.14751682])"
108,ANAIS,"array([-18.33381847,  25.87604875])"
109,ANAK,"array([-15.66970686,  32.08364432])"
110,ANALYZER,"array([-14.26135999,  31.33477705])"
111,"ANAMI, HIROSHI","array([-7.41322141, 32.98401835])"
112,ANANASTASIA/ANNA,"array([-17.55880679,  20.0508753 ])"
113,ANARCHIST/TIKE ALICA,"array([-20.2732801 ,  22.46869372])"
114,ANCESTOR/,"array([-8.60306273, 32.97662467])"
115,ANCIENT ONE,"array([-7.59275575, 30.28037193])"
116,ANCIENT ONE/BARON MO,"array([-23.9028549 ,  23.32955136])"
117,"ANDERS, JOSHUA RICHI","array([-6.51572141, 26.25291913])"
118,"ANDERSON, BAXTER","array([-13.93307875,  21.14728578])"
119,"ANDERSON, CHARLES","array([-9.32229556, 24.81232342])"
120,"ANDERSON, CHET","array([-4.66843592, 30.06781948])"
121,"ANDERSON, CHIEF MAGI","array([-15.92268428,  28.28743502])"
122,"ANDERSON, GINA","array([-19.24294785,  28.71004341])"
123,"ANDERSON, MARJORIE","array([-4.69152677, 30.24915588])"
124,"ANDERSON, NICKY","array([-4.72811066, 30.39771842])"
125,"ANDERSSEN, TANYA","array([-14.61359724,  25.05652408])"
126,"ANDREWS, DARYL TROOP","array([-7.44811253, 26.35070542])"
127,ANDROMEDA/ANDROMEDA ,"array([-11.31424344,  29.48726488])"
128,ANDROS,"array([-10.45111187,  20.64472062])"
129,ANDWELLA,"array([-11.27146207,  30.34369055])"
130,ANELLE,"array([-13.06767603,  30.9954929 ])"
131,ANGAR THE SCREAMER/D,"array([-10.61705177,  26.29911957])"
132,ANGEL/WARREN KENNETH,"array([-14.13325469,  27.0907565 ])"
133,ANGEL 2013,"array([-21.32411864,  30.45113809])"
134,ANGEL II/THOMAS HALL,"array([-14.76467079,  18.23043205])"
135,ANGEL III/HALLOWAY,"array([-6.76525886, 28.94060577])"
136,ANGEL IV,"array([-9.62500498, 21.79074848])"
137,ANGEL DOPPELGANGER,"array([-16.58387316,  30.27404071])"
138,"ANGELOPOULOS, ANGEL ","array([-4.79853714, 24.22890602])"
139,ANGKOR,"array([-11.73998627,  34.91638506])"
140,ANGLER,"array([-14.32691337,  32.09563612])"
141,"ANGSTROM, EARL","array([-7.7686822 , 20.65225535])"
142,ANIELLE,"array([-22.74174174,  24.2986115 ])"
143,ANIMATOR/DR. FREDRIC,"array([-18.49956378,  27.17532047])"
144,ANIMATOR II/,"array([-5.79627839, 28.43152121])"
145,ANIMUS,"array([-9.19223873, 36.32285869])"
146,ANNALEE,"array([-15.39658591,  24.84245365])"
147,ANNIHILUS,"array([-13.13406833,  29.66104229])"
148,ANOMALY,"array([-12.1104494 ,  33.97964195])"
149,ANOMALY III,"array([-13.53613518,  35.1422105 ])"
150,"ANON, LORD","array([-16.69773207,  29.81460745])"
151,ANSWER,"array([-10.76001492,  22.90206401])"
152,ANSWER II/DAVID FERR,"array([-6.41708757, 27.46353163])"
153,ANT-MAN/DR. HENRY J.,"array([-11.07156849,  29.47953882])"
154,ANT-MAN II/SCOTT HAR,"array([-12.29048243,  29.68000838])"
155,ANTEUS,"array([-18.04978042,  26.37462392])"
156,ANTHROMORPHO,"array([-13.32026069,  31.75640726])"
157,ANTI-PHOENIX,"array([-19.15854866,  29.11240707])"
158,ANTI-VISION,"array([-12.83458461,  34.15232763])"
159,ANTIBODY,"array([-11.69088133,  35.95514868])"
160,ANTIQUARY/,"array([-17.76371719,  26.56032639])"
161,"ANTOINETTE, MARIE","array([-6.53167643, 31.20791246])"
162,ANTORO,"array([-13.4125213 ,  24.27639043])"
163,ANTRO,"array([-12.2958533 ,  27.08222022])"
164,"ANUBAR, ANWAR","array([-18.90853963,  23.30595323])"
165,ANUBIA,"array([-13.8452541 ,  21.51715419])"
166,ANVIL/JOHNNY ANVIL,"array([-8.33960865, 26.85628602])"
167,APE/,"array([-15.54498289,  25.18656914])"
168,APE MAN/GORDON MONK ,"array([-10.8349387 ,  26.32560824])"
169,APE MAN II/ROY MCVEY,"array([-6.93524331, 25.63158096])"
170,APE-X/XINA,"array([-8.59279453, 33.66096738])"
171,APOCALYPSE/EN SABAH ,"array([-15.49417311,  27.73028872])"
172,APOCALYPSE | MUTANT ,"array([-21.36797749,  24.00889281])"
173,APOCRYPHUS,"array([-11.26001231,  33.40915882])"
174,APOLLO [GREEK GOD],"array([-13.72916616,  30.83853909])"
175,APOSTATE,"array([-11.24652229,  26.40051136])"
176,APPALLA,"array([-7.58597462, 34.16141201])"
177,"APPLEBAUM, PHANTASY","array([-9.09183279, 20.35509269])"
178,AQUARIAN/WUNDARR,"array([-11.8258759 ,  29.75580423])"
179,AQUARIUS/DARREN BENT,"array([-7.86921354, 29.11169526])"
180,AQUARIUS II/,"array([-6.60099028, 30.02740256])"
181,AQUARIUS III/,"array([-20.65697757,  31.24196295])"
182,ARABIAN KNIGHT/ABDUL,"array([-12.76915207,  26.725637  ])"
183,ARACHNE,"array([-12.44810434,  27.61693044])"
184,ARAGORN,"array([-10.96919337,  29.50111518])"
185,ARAKI [SHI'AR],"array([-15.43131535,  27.8086574 ])"
186,ARAKI II,"array([-13.91530344,  26.03146997])"
187,"ARBOGAST, BAMBI","array([-9.34494176, 30.14071102])"
188,ARCADE/,"array([-15.37391941,  25.200562  ])"
189,ARCADIUS,"array([-13.12807183,  32.4720989 ])"
190,ARCANNA/ARCANNA JONE,"array([-10.26037909,  31.57568411])"
191,ARCHAEOPTERYX/TONAJA,"array([-13.83973954,  32.30030466])"
192,ARCHER/JUDE BLACK,"array([-19.22708666,  26.05878635])"
193,"ARCHER, ULYSSES SAMS","array([-15.08068777,  34.68458906])"
194,ARCLIGHT/PHILLIPA SO,"array([-14.17009385,  26.5251785 ])"
195,ARCTURUS,"array([-12.51994886,  20.64943356])"
196,ARES [GREEK GOD],"array([-12.77016924,  30.81901189])"
197,AREX,"array([-14.71132126,  32.15191568])"
198,ARGOS,"array([-19.93945399,  26.31645438])"
199,"ARGOSY, HERVE","array([-12.74426151,  20.53884031])"
200,ARIA,"array([-14.88814461,  28.30562799])"
201,ARIANE,"array([-20.15934274,  32.5241983 ])"
202,ARIDES,"array([-15.19117354,  31.01494039])"
203,ARIEL II,"array([-16.68665968,  25.13521052])"
204,ARIES/MARCUS LASSITE,"array([-8.44484304, 29.3481716 ])"
205,ARIES II/GROVER RAYM,"array([-8.28909036, 29.02441897])"
206,ARIES III/,"array([-20.33934159,  31.44676328])"
207,ARISHEM [CELESTIAL],"array([-14.46182916,  31.01663375])"
208,ARIZE,"array([-17.46321003,  25.19539878])"
209,"ARKANIAN, GLIB","array([-15.01099867,  35.66160882])"
210,ARKO,"array([-15.11364192,  32.99935624])"
211,ARKON,"array([-12.6011102 ,  29.58217434])"
212,"ARLINGTON, DR. MARCU","array([-14.66927278,  22.09952465])"
213,ARLISSE,"array([-18.17584022,  31.18886074])"
214,ARMADA,"array([-14.25315019,  23.89277319])"
215,ARMADA II/,"array([-10.08203893,  20.27438537])"
216,ARMADILLO/ANTONIO RO,"array([-10.43191072,  27.54274294])"
217,ARMAGEDDON,"array([-11.49783561,  35.36586413])"
218,ARMAGEDDON MAN,"array([-19.99782525,  25.88181049])"
219,ARMAND,"array([-0.23910991, 28.89362161])"
220,ARMAROS,"array([-4.75362074, 19.13868523])"
221,ARMAZIEL,"array([-4.39728941, 32.27625567])"
222,"ARMBRUSTER, COLONEL ","array([-11.54365306,  31.34959228])"
223,ARMS MERCHANT/ANDREA,"array([-6.66389703, 30.41986184])"
224,"ARMSTRONG, ?","array([-11.43031763,  17.05627077])"
225,"ARMSTRONG, MYRA","array([-15.35737294,  24.52126489])"
226,ARNSTROM,"array([-16.56860455,  27.98657978])"
227,ARON [WATCHER],"array([-13.2766875 ,  29.26771064])"
228,ARRANGER/,"array([-9.61842185, 23.48222037])"
229,ARSENAL,"array([-10.13985613,  31.05965856])"
230,ARSENAL II,"array([-3.44783629, 24.50083157])"
231,ARSENIC,"array([-6.68506153, 29.02082628])"
232,ARTEMIS,"array([-12.70659705,  33.35191926])"
233,ARVAK,"array([-16.3068299 ,  34.00639658])"
234,ARYAN,"array([-12.83399644,  22.8679356 ])"
235,ASANO,"array([-17.91139821,  23.24703147])"
236,"ASBERY, SHAMARI","array([-14.7399495 ,  29.11218589])"
237,ASBESTOS LADY,"array([-6.65321632, 33.6800555 ])"
238,"ASH, BRANDY","array([-11.98760951,  26.84806765])"
239,ASHEMA [CELESTIAL],"array([-12.32529399,  27.57933641])"
240,"ASHER, CARL","array([-54.11161543,   1.87766811])"
241,"ASHER, DONNA","array([-53.97936689,   1.40865087])"
242,"ASHER, MICHAEL","array([-53.70205629,   2.00291009])"
243,ASHUR,"array([-16.7617001 ,  28.22267295])"
244,ASKANI,"array([-16.13457592,  28.44090425])"
245,ASMODEUS,"array([-7.66062998, 31.71616691])"
246,ASP II/CLEO,"array([-10.734938  ,  26.83497098])"
247,ASSAULT/,"array([-12.22098064,  24.50780267])"
248,ASTARTE,"array([-21.41284259,  26.36884507])"
249,"ASTER, LUCIAN","array([-9.40233587, 33.44557412])"
250,ASTRA,"array([-15.5367145,  29.4252804])"
251,ASTRA II,"array([-17.64291554,  26.86678879])"
252,ASTROLOGER/,"array([-6.62529041, 26.20223411])"
253,ASTRONOMER,"array([-13.17333124,  32.76732334])"
254,"ASTROVIK, ARNOLD","array([-13.68395684,  23.20903777])"
255,"ASTROVIK, NORMA","array([-13.01481777,  25.40706842])"
256,ASYLUM/,"array([-14.11159671,  24.32939122])"
257,ASYLUM II/HENRIQUE M,"array([-14.21676904,  23.47505671])"
258,ATALANTA,"array([-12.36542422,  31.70896589])"
259,ATHENA [GREEK GOD],"array([-13.34137915,  30.67595836])"
260,"ATKINSON, MAJ. EDMON","array([-16.67919207,  24.52983018])"
261,ATLAS,"array([-12.15921677,  30.99965028])"
262,ATLAS III,"array([-15.55193273,  35.05728569])"
263,ATOM SMASHER/,"array([-10.50107857,  33.26094865])"
264,ATOM SMASHER II/,"array([-6.4273891 , 33.13264934])"
265,ATOM-SMASHER/,"array([-10.85075747,  33.34040012])"
266,"ATOR, GENERAL","array([-13.49611007,  32.51010625])"
267,ATTRACTIVE LAD/AUNDR,"array([-6.24366277, 31.89726898])"
268,ATTUMA,"array([-11.98289604,  30.43180541])"
269,AUGUST PERSONAGE IN ,"array([-12.3850158 ,  24.62649408])"
270,AUNTIE FREEZE/,"array([-9.73110168, 31.22166841])"
271,AURA/ANN HERD,"array([-10.55124423,  21.35153519])"
272,AURIC/,"array([-14.50936061,  27.89404355])"
273,AURORA/JEANNE-MARIE ,"array([-15.45949176,  28.93518227])"
274,AURORA DOPPELGANGER,"array([-17.31008232,  31.23328313])"
275,AURORA | MUTANT X-VE,"array([-22.82616012,  22.14541624])"
276,"AUSTIN, GEN.","array([-19.90946851,  28.17003795])"
277,"AUSTIN, SUSAN","array([-13.74725444,  30.08931736])"
278,"AUSTIN, TERRY","array([-16.5504528 ,  25.16127715])"
279,"AUTHIER, POLICE CHIE","array([-18.1251847 ,  23.39689816])"
280,"AUTHIER, TRACY TRACE","array([-18.01124781,  23.63728809])"
281,AUTHORITY/,"array([-10.20248365,  25.48437919])"
282,AUTOLYCUS,"array([-13.3110078 ,  34.00299416])"
283,AVALANCHE/DOMINIC PE,"array([-14.38975964,  26.93138905])"
284,AVANDALIA,"array([-12.60721662,  23.55716902])"
285,AVATAR,"array([-17.10589127,  27.31502055])"
286,AVATAR II/PRINCESS A,"array([-12.5988725 ,  36.18729144])"
287,AVIA,"array([-14.77496985,  26.36456683])"
288,AVIOS,"array([-16.40276464,  30.37643132])"
289,AVIUS,"array([-15.6395315 ,  29.80324603])"
290,"AVRIL, SALLY","array([-10.36305468,  24.14272765])"
291,"AVRIL, YVETTE","array([-6.01362251, 32.41791701])"
292,AWESOME ANDROID,"array([-13.41065179,  28.23152273])"
293,AXE/,"array([-14.90651375,  24.65740352])"
294,AXIS/,"array([-15.47475248,  36.93930924])"
295,"AYALA, AWILDA","array([-7.30446939, 23.72366559])"
296,"AYALA, FILIPPO","array([-8.12107085, 22.7715574 ])"
297,"AYALA, MRS.","array([-6.9429817 , 23.01627181])"
298,"AYALA, NESTOR","array([-6.34763231, 22.32159725])"
299,AYESHA,"array([-16.74905757,  29.93472994])"
300,AZAZEL,"array([-20.88254327,  27.74154006])"
301,AZAZEL II,"array([-4.67396501, 19.38025611])"
302,AZIR,"array([-10.04096429,  22.56302463])"
303,AZOPARDI,"array([-3.35904152, 21.4653639 ])"
304,AZOR,"array([-10.64163441,  35.62582322])"
305,AZRAEL,"array([-3.78036036, 33.27868003])"
306,AZURE,"array([-18.47559129,  25.17561561])"
307,B'ARR,"array([-17.44986788,  31.35487484])"
308,B'GON,"array([-14.89856569,  36.21476944])"
309,"B'KOSA, GEN. JONATHA","array([-3.57081777, 24.36361091])"
310,BAAL,"array([-18.50179313,  30.990664  ])"
311,BAAL II,"array([-5.71513588, 22.11388353])"
312,BACILLUS,"array([-7.65713218, 22.18856755])"
313,"BADALAMENTE, JESUS","array([-10.07932594,  23.99356391])"
314,"BADALINO, LT. MICHAE","array([-5.35120266, 24.8255734 ])"
315,"BAILEY, GAILYN","array([-19.19823527,  25.52646147])"
316,"BAILEY, JOEY","array([-19.131126  ,  25.03345844])"
317,"BAILEY, SARA GREY","array([-16.69646084,  25.69077117])"
318,"BAIRD, DR.","array([-8.95470141, 33.26490069])"
319,BAKER,"array([-20.74870808,  26.30780043])"
320,"BAKER, ANNE-MARIE","array([-8.7822684 , 25.04506134])"
321,BALABAN/,"array([-16.73336422,  22.57090244])"
322,BALDER [ASGARDIAN],"array([-14.43440525,  31.37202307])"
323,"BALDWIN, JUSTIN","array([-14.20241264,  24.09636288])"
324,"BALDWIN, MADELYNE MA","array([-13.92625667,  24.18783427])"
325,"BALE, EMERSON","array([-11.2730217 ,  26.59887288])"
326,"BALLANTINE, DEVON","array([-13.71404898,  33.86030205])"
327,"BALLANTINE, KAYLA","array([-12.35891849,  30.85263451])"
328,"BALLANTINE, MR.","array([-14.77300859,  34.66963595])"
329,"BALLANTINE, MRS.","array([-15.05938477,  34.52151958])"
330,BALOR,"array([-9.71014636, 33.31027856])"
331,BAMBI,"array([-11.41543338,  24.16880114])"
332,"BANCROFT, MARTINE","array([-6.96100926, 25.92504377])"
333,BANDIT/,"array([-13.46319558,  23.5738795 ])"
334,"BANK, IRVING","array([-16.17018617,  20.74198909])"
335,"BANKS, SHARON","array([-11.41158991,  24.57212209])"
336,"BANNER, BETTY ROSS T","array([-11.43226948,  31.45597144])"
337,"BANNERJEE, DR.","array([-19.1183409 ,  22.09301925])"
338,"BANNON, LANCE","array([-10.751701  ,  24.65584226])"
339,BANSHEE/SEAN CASSIDY,"array([-15.89364225,  25.795327  ])"
340,BANSHEE 2013,"array([-18.67779493,  28.77091833])"
341,BANSHEE II,"array([-8.44959051, 29.44444351])"
342,BANTAM/,"array([-19.06681047,  25.60328394])"
343,"BANTOCK, LT. OLIVER","array([-20.5373033 ,  24.56417569])"
344,"BAPTISTE, TANTE MATT","array([-22.643906 ,  24.4938073])"
345,BARAK,"array([-18.71840515,  27.72147062])"
346,"BARBAROSSA, MARIO","array([-8.58642651, 18.725254  ])"
347,"BARBAROSSA, VINNIE","array([-7.23546724, 21.79236667])"
348,BARBARUS,"array([-14.2996425 ,  25.57759409])"
349,BARIUM,"array([-6.59624137, 29.72063383])"
350,BARKER,"array([-10.40016757,  19.82799777])"
351,"BARKER, MATTHEW T.","array([-16.43888799,  20.65614786])"
352,BARNACLE/,"array([-17.10280562,  29.01141156])"
353,"BARNETT, MIKE","array([-13.73522902,  26.28379403])"
354,BARON BLOOD/JOHN FAL,"array([-8.685328  , 30.62970241])"
355,BARON BLOOD II/VICTO,"array([-7.68311571, 29.43383934])"
356,BARON BRIMSTONE/,"array([-14.18434154,  27.93072333])"
357,BARON MACABRE/,"array([-5.07012804, 31.02697974])"
358,BARON MORDO/KARL MOR,"array([-7.62796477, 29.98834061])"
359,BARON SAMEDI,"array([-1.20674672, 27.67815731])"
360,BARON STRUCKER/WOLFG,"array([-9.25301635, 27.16221589])"
361,BARON ZEBEK,"array([-19.24846803,  30.89004306])"
362,BARONESS ZEMO/HEIKE,"array([-9.18170267, 26.26890209])"
363,BARRACUDA/,"array([-13.9921982 ,  22.03441456])"
364,BARRAGE,"array([-15.64680738,  25.89169256])"
365,"BARRANCO, MARIA ESME","array([-13.863766  ,  26.70210058])"
366,"BARRENOS, OMAR","array([-13.90694702,  23.33022907])"
367,BARRIER/,"array([-6.35154539, 33.28957688])"
368,BARRINGTON,"array([-19.07726349,  23.06302708])"
369,"BARRON, RICK","array([-11.83085937,  19.14503367])"
370,"BARROWS, WALTER","array([-13.51019401,  36.4820527 ])"
371,"BARTLETT, STU","array([-7.11926482, 27.21724359])"
372,"BARTON, SEN.","array([-2.94216642, 27.35902946])"
373,BARTOS,"array([-19.25737124,  32.1195005 ])"
374,BASALLO/LAVA MEN KIN,"array([-14.40938228,  33.58104459])"
375,BASALTAR,"array([-19.31505592,  32.31587602])"
376,BASILISK/BASIL ELKS,"array([-12.62579965,  26.4731499 ])"
377,BASILISK II,"array([-15.30387073,  21.62539889])"
378,BASILISK III/,"array([-9.09759437, 26.82403473])"
379,BATAL/,"array([-15.00832696,  22.1567995 ])"
380,BATROC/GEORGES BATRO,"array([-10.4840316 ,  25.29291579])"
381,BATTERING RAM,"array([-20.84778655,  21.00500931])"
382,BATTERY/,"array([-12.09977578,  24.78361354])"
383,"BATTLE, MONTGOMERY","array([-12.88351113,  22.98697108])"
384,BATTLEAXE/,"array([-9.94076958, 26.093077  ])"
385,BATTLEAXE II/JEROME ,"array([-15.99207027,  22.20563639])"
386,BATTLESTAR/LEMAR HOS,"array([-10.03672007,  26.79003786])"
387,BATWING/,"array([-9.07439247, 21.23985035])"
388,BAV-TEK,"array([-16.50566271,  37.15321572])"
389,BAXTER,"array([-19.32946579,  21.92742851])"
390,"BAXTER, ABIGAIL","array([-12.27226413,  29.30518583])"
391,"BAXTER, NOAH","array([-12.45218332,  28.16981353])"
392,"BAYLOR, FRANK","array([-15.77085854,  18.43135174])"
393,BAYMAX,"array([-16.49341607,  25.90164517])"
394,"BAZIN, ALLEGRA","array([-13.57970041,  23.29790832])"
395,"BAZIN, ANDREW","array([-13.61851237,  22.08185323])"
396,"BAZIN, BRODERICK RIC","array([-13.16791854,  21.76960841])"
397,"BAZIN, PHILLIPPE","array([-12.79179516,  21.96821103])"
398,"BEACH, GINGER","array([-11.41884493,  31.55752453])"
399,"BEACH, SPIDER","array([-11.48017953,  31.61310041])"
400,"BEALE, ERIC","array([-17.44250966,  24.82374766])"
401,BEAR/,"array([-8.36605013, 19.2794909 ])"
402,BEAST/HENRY &HANK& P,"array([-13.53460568,  27.55833591])"
403,BEAST 2013,"array([-21.15766722,  30.85206974])"
404,BEAST DOPPELGANGER,"array([-17.61263851,  29.3600848 ])"
405,BEAST DOPPELGANGER I,"array([-14.2206663,  27.7026804])"
406,BEAST DOPPELGANGER I,"array([-16.00738358,  22.06756433])"
407,"BEAUMONT, SPENCER","array([-20.12125832,  25.12721481])"
408,BEAUTIFUL DREAMER,"array([-15.92853988,  24.72263756])"
409,BEAUTIFUL DREAMER II,"array([-17.84810171,  24.32088337])"
410,BEAUTY,"array([-12.06263523,  31.76226933])"
411,"BECKFORD, NOEL","array([-9.21638633, 23.36202172])"
412,"BECKLEY, BENNY","array([-17.09861333,  33.73117867])"
413,"BECKMAN, CHARLES","array([-1.37668799, 31.64259365])"
414,"BECKMAN, JOSEPH","array([-1.60151028, 31.65349776])"
415,"BECKMAN, LISA","array([-1.63011813, 31.93382905])"
416,"BECKMAN, SARAH","array([-1.37994706, 31.40385161])"
417,"BEDFORD, BRAD HULK","array([-9.45050069, 37.45413358])"
418,BEDLAM/JESSE AARONSO,"array([-17.49742695,  26.66960894])"
419,BEDLAM II/OLISA KABA,"array([-10.86828967,  28.6555452 ])"
420,BEEF/,"array([-14.9521028 ,  23.48945984])"
421,BEEFER,"array([-13.88740359,  27.53090331])"
422,"BEERE, JASON","array([-7.28595692, 28.25397387])"
423,BEETLE/ABNER RONALD ,"array([-10.17503785,  27.70248695])"
424,BEETLE II/LEILA DAVI,"array([-9.68790734, 27.39968623])"
425,BEETLE ROBOT,"array([-11.00870112,  28.31532101])"
426,BEHEMOTH,"array([-16.39556044,  32.23674407])"
427,"BEL-DANN, GEN.","array([-15.69121649,  32.48348782])"
428,BELASCO,"array([-16.11213538,  26.05415448])"
429,BELDAME,"array([-18.64074998,  26.86581719])"
430,"BELGRADE, DR. HORATI","array([-16.27340268,  28.90750823])"
431,BELIAL,"array([-2.72746787, 26.00866615])"
432,"BELL, HERBERT","array([-12.80389638,  33.37020531])"
